price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,plz,ort
553000,131,4,2,1,no,yes,no,no,no,2,no,unfurnished,53111,Bonn Zentrum
552000,129,4,1,1,yes,no,no,yes,no,1,no,semi-furnished,53121,Bonn Endenich
551000,173,5,3,3,yes,no,yes,yes,no,2,yes,semi-furnished,53424,Remagen
550000,175,5,2,1,no,no,yes,yes,no,2,no,unfurnished,53721,Siegburg
549000,97,2,1,1,no,no,no,yes,no,1,yes,semi-furnished,53115,Bonn Zentrum
548000,95,3,2,1,no,no,no,yes,no,0,yes,unfurnished,53179,Bonn Bad Godesberg
548000,165,4,3,1,no,yes,no,yes,no,1,no,unfurnished,45329,Essen Altenessen
547000,171,5,1,1,no,no,yes,yes,no,1,yes,unfurnished,32423,Minden
547000,93,3,2,1,yes,no,yes,yes,no,1,yes,furnished,53115,Bonn Zentrum
547000,148,4,2,1,yes,no,yes,yes,no,2,yes,unfurnished,53359,Rheinbach
547000,89,2,1,1,no,no,yes,yes,no,0,yes,semi-furnished,50999,Köln Rodenkirchen
546000,99,3,2,1,no,no,no,yes,no,1,no,unfurnished,50670,Köln Innenstadt
545000,96,3,1,1,no,no,no,yes,yes,2,yes,unfurnished,50935,Köln Lindenthal
544000,205,4,1,3,no,yes,yes,yes,no,2,no,unfurnished,53489,Sinzig
544000,111,3,1,1,yes,no,no,no,no,0,yes,furnished,50670,Köln Innenstadt
544000,98,3,2,3,no,yes,yes,yes,yes,2,no,unfurnished,53179,Bonn Bad Godesberg
538000,149,3,1,1,no,no,yes,yes,no,2,yes,unfurnished,53347,Alfter
537000,136,4,1,2,no,yes,yes,yes,no,2,no,semi-furnished,53179,Bonn Bad Godesberg
536000,118,2,2,3,no,no,yes,yes,no,0,yes,semi-furnished,53119,Bonn Tannenbusch
536000,213,6,3,3,yes,yes,yes,yes,no,1,no,semi-furnished,53489,Sinzig
535000,92,3,2,3,no,no,yes,yes,no,0,no,unfurnished,50931,Köln Lindenthal
535000,102,3,1,3,no,yes,yes,yes,no,2,yes,semi-furnished,53115,Bonn Zentrum
534000,135,4,1,3,yes,no,yes,yes,no,0,no,furnished,40233,Düsseldorf Flingern
533000,128,4,2,1,no,no,yes,yes,no,2,no,semi-furnished,53757,Sankt Augustin
531000,210,5,3,2,no,yes,no,yes,no,1,yes,unfurnished,45329,Essen Altenessen
530000,133,3,1,1,yes,yes,no,no,no,1,yes,unfurnished,53129,Bonn Kessenich
530000,211,5,3,3,no,no,yes,yes,no,1,no,unfurnished,45657,Recklinghausen
530000,124,3,2,3,no,no,yes,yes,no,1,yes,unfurnished,44795,Bochum
527000,101,4,2,3,no,no,yes,no,no,2,no,semi-furnished,53113,Bonn Zentrum
527000,98,3,2,3,no,no,yes,yes,no,1,no,unfurnished,40223,Düsseldorf Bilk
524000,76,1,2,1,no,no,no,no,yes,0,yes,semi-furnished,40549,Düsseldorf Oberkassel
522000,139,3,2,1,no,no,no,yes,no,2,no,semi-furnished,44135,Dortmund Zentrum
520000,135,4,2,1,no,no,yes,yes,no,1,no,unfurnished,45127,Essen Zentrum
519000,112,3,1,1,no,yes,no,yes,no,1,yes,semi-furnished,53113,Bonn Zentrum
519000,118,3,2,2,yes,no,yes,yes,no,0,no,semi-furnished,48147,Münster
519000,118,3,2,3,no,no,yes,yes,yes,0,no,unfurnished,53125,Bonn Hardtberg
518000,152,4,3,2,yes,no,yes,yes,yes,1,no,semi-furnished,51377,Leverkusen
517000,151,5,3,1,no,no,yes,yes,no,2,no,semi-furnished,52064,Aachen
517000,170,5,1,1,no,no,yes,yes,no,1,no,semi-furnished,53125,Bonn Hardtberg
517000,202,5,3,3,yes,yes,no,no,no,3,no,semi-furnished,45473,Mülheim a.d. Ruhr
516000,118,4,2,1,no,no,yes,yes,no,1,yes,unfurnished,53721,Siegburg
513000,98,3,1,1,no,yes,no,yes,no,0,yes,furnished,51377,Leverkusen
512000,138,3,3,3,no,no,no,yes,no,3,no,unfurnished,50321,Brühl
512000,79,3,1,1,no,yes,no,yes,no,1,no,unfurnished,50667,Köln Innenstadt
511000,106,3,1,1,no,no,yes,yes,no,0,yes,unfurnished,53115,Bonn Zentrum
511000,85,2,2,1,no,no,no,yes,no,2,yes,unfurnished,53115,Bonn Poppelsdorf
510000,71,2,1,1,yes,no,no,yes,no,2,yes,semi-furnished,50670,Köln Innenstadt
507000,124,3,2,2,no,no,yes,yes,no,2,no,semi-furnished,53227,Bonn Beuel
505000,148,5,1,3,no,yes,yes,yes,no,2,no,unfurnished,51467,Bergisch Gladbach
504000,167,4,1,3,no,yes,no,yes,no,2,no,semi-furnished,53127,Bonn Hardtberg
503000,131,4,1,1,no,yes,yes,yes,no,1,no,unfurnished,53797,Lohmar
502000,165,5,1,3,no,no,yes,yes,no,3,no,unfurnished,52062,Aachen
500000,71,2,2,1,no,no,yes,yes,yes,2,no,furnished,50937,Köln Lindenthal
499000,174,5,3,3,yes,no,yes,yes,no,3,no,semi-furnished,44135,Dortmund Zentrum
498000,111,4,1,1,no,no,no,yes,yes,0,no,unfurnished,53111,Bonn Zentrum
497000,110,3,2,3,no,no,yes,yes,no,0,no,unfurnished,41464,Neuss
497000,248,6,1,3,no,no,yes,yes,no,1,no,unfurnished,59755,Arnsberg
496000,122,3,2,2,no,no,yes,yes,no,2,yes,furnished,53844,Troisdorf
496000,101,4,2,3,no,no,yes,yes,no,1,yes,semi-furnished,44139,Dortmund Zentrum
493000,104,3,2,1,no,no,no,yes,no,2,no,unfurnished,53229,Bonn Beuel
492000,128,4,2,3,no,no,yes,no,no,2,yes,semi-furnished,51067,Köln Muelheim
492000,179,4,1,2,no,no,yes,yes,no,3,no,unfurnished,53773,Hennef (Sieg)
491000,222,6,1,2,no,no,yes,yes,no,1,yes,unfurnished,44625,Herne
491000,94,4,2,2,yes,no,no,yes,no,1,no,furnished,53115,Bonn Poppelsdorf
490000,90,3,1,2,no,no,yes,yes,no,1,yes,furnished,53127,Bonn Hardtberg
489000,112,4,1,3,no,no,yes,yes,no,2,no,semi-furnished,53121,Bonn Endenich
488000,142,4,2,1,no,no,no,yes,yes,1,no,furnished,42859,Remscheid
486000,100,3,2,1,yes,no,no,yes,no,1,no,unfurnished,50999,Köln Rodenkirchen
484000,98,3,2,1,no,no,yes,yes,no,1,no,unfurnished,53227,Bonn Beuel
484000,139,5,1,2,no,yes,yes,yes,no,2,no,semi-furnished,50767,Köln Chorweiler
483000,124,4,2,3,no,no,no,yes,no,1,no,furnished,53121,Bonn Endenich
480000,184,5,1,3,no,no,yes,yes,yes,3,no,unfurnished,46047,Oberhausen
479000,144,5,1,3,yes,no,no,yes,no,2,no,semi-furnished,50259,Pulheim
478000,105,2,1,3,yes,no,yes,yes,yes,1,no,furnished,50996,Köln Rodenkirchen
478000,135,4,2,1,yes,no,no,yes,no,1,yes,unfurnished,50354,Hürth
478000,99,3,1,1,no,yes,no,yes,no,2,no,furnished,53227,Bonn Beuel
477000,130,3,1,2,no,no,no,no,no,0,yes,semi-furnished,41466,Neuss
475000,124,3,2,1,no,no,yes,yes,no,1,no,furnished,53604,Bad Honnef
475000,80,2,3,1,no,no,yes,yes,yes,1,no,unfurnished,50670,Köln Innenstadt
475000,86,2,2,1,yes,no,no,yes,no,1,yes,unfurnished,50969,Köln Suelz
475000,125,4,2,3,no,yes,yes,yes,yes,1,no,unfurnished,53127,Bonn Hardtberg
475000,92,3,2,1,no,no,no,yes,no,2,no,semi-furnished,48149,Münster
474000,117,2,1,1,no,no,yes,no,no,2,no,unfurnished,50969,Köln Suelz
474000,133,4,3,1,no,no,yes,yes,no,2,no,unfurnished,56068,Koblenz
474000,103,3,1,1,no,no,yes,no,no,1,no,semi-furnished,53121,Bonn Endenich
472000,177,5,3,3,yes,no,no,no,no,3,no,unfurnished,47058,Duisburg
472000,117,3,2,3,no,no,yes,yes,no,2,no,unfurnished,40597,Düsseldorf Benrath
472000,81,3,2,1,no,yes,no,yes,no,0,no,unfurnished,53115,Bonn Zentrum
472000,108,4,1,1,yes,no,no,yes,no,0,no,semi-furnished,53115,Bonn Poppelsdorf
472000,144,4,1,1,no,yes,yes,yes,no,1,no,unfurnished,50389,Wesseling
470000,155,5,2,2,no,no,yes,yes,no,2,yes,unfurnished,45326,Essen Altenessen
469000,122,4,1,1,no,no,no,yes,no,1,no,unfurnished,53179,Bonn Bad Godesberg
469000,133,4,2,3,no,no,no,yes,no,0,no,semi-furnished,53721,Siegburg
467000,164,4,2,3,no,no,yes,no,no,1,no,unfurnished,45130,Essen Zentrum
465000,130,4,1,3,no,yes,yes,yes,no,2,yes,furnished,53842,Troisdorf
465000,92,3,1,3,yes,no,no,yes,no,2,no,unfurnished,53175,Bonn Bad Godesberg
464000,136,3,3,1,yes,no,yes,yes,no,2,no,unfurnished,53332,Bornheim
463000,116,3,2,3,yes,no,yes,yes,no,2,no,unfurnished,53347,Alfter
463000,87,3,2,1,no,yes,no,yes,no,1,no,unfurnished,53111,Bonn Zentrum
460000,118,3,2,1,no,yes,yes,yes,no,0,no,unfurnished,50737,Köln Nippes
460000,129,4,1,2,no,yes,yes,yes,no,2,yes,unfurnished,53127,Bonn Hardtberg
457000,129,4,2,2,no,no,no,yes,no,1,yes,unfurnished,44789,Bochum
457000,248,6,1,1,no,no,yes,yes,no,3,no,unfurnished,58509,Lüdenscheid
455000,122,3,2,1,no,yes,no,yes,no,1,no,unfurnished,50354,Hürth
453000,82,3,2,1,no,no,no,yes,no,2,yes,unfurnished,53115,Bonn Poppelsdorf
453000,156,4,1,2,no,no,yes,yes,no,3,no,unfurnished,53773,Hennef (Sieg)
453000,153,3,2,3,no,no,yes,yes,no,1,no,semi-furnished,44328,Dortmund Scharnhorst
452000,107,3,2,3,yes,no,yes,yes,no,1,no,semi-furnished,50999,Köln Rodenkirchen
452000,123,4,1,1,no,no,no,yes,no,1,yes,semi-furnished,53347,Alfter
449000,144,4,2,1,no,no,yes,yes,no,1,no,unfurnished,53844,Troisdorf
448000,144,5,2,3,no,no,yes,no,no,2,no,semi-furnished,41061,Mönchengladbach
447000,102,3,2,2,no,yes,yes,yes,no,1,no,semi-furnished,53177,Bonn Bad Godesberg
447000,124,3,1,1,no,no,no,yes,no,1,yes,furnished,53119,Bonn Tannenbusch
446000,84,2,1,1,no,no,no,no,no,2,no,unfurnished,50672,Köln Innenstadt
446000,125,4,2,1,yes,no,no,yes,no,2,no,unfurnished,53115,Bonn Poppelsdorf
445000,112,3,2,1,no,no,no,yes,no,1,yes,unfurnished,40597,Düsseldorf Benrath
445000,83,2,2,1,no,no,yes,yes,no,2,no,unfurnished,48155,Münster
445000,169,4,2,1,no,yes,yes,no,no,2,yes,unfurnished,53489,Sinzig
443000,106,3,2,3,no,no,yes,yes,no,1,no,unfurnished,53127,Bonn Venusberg
443000,141,4,3,2,no,no,yes,yes,no,1,no,unfurnished,53125,Bonn Hardtberg
443000,100,3,1,1,no,yes,yes,yes,no,1,no,unfurnished,53125,Bonn Hardtberg
442000,119,3,1,2,no,no,yes,yes,no,1,no,semi-furnished,33602,Bielefeld
442000,166,4,3,3,no,no,yes,yes,no,3,no,unfurnished,50389,Wesseling
439000,121,3,2,1,no,yes,no,yes,no,2,yes,unfurnished,50354,Hürth
439000,115,4,1,1,yes,yes,no,yes,no,1,no,semi-furnished,53125,Bonn Hardtberg
439000,111,3,2,3,no,no,yes,yes,no,2,yes,unfurnished,52072,Aachen
437000,105,3,2,1,no,no,yes,yes,yes,0,no,unfurnished,50827,Köln Ehrenfeld
436000,100,3,3,1,no,no,yes,yes,no,1,yes,semi-furnished,45470,Mülheim a.d. Ruhr
436000,74,3,2,1,no,no,yes,yes,no,2,yes,unfurnished,50679,Köln Deutz
436000,107,3,1,1,no,no,yes,yes,no,0,no,semi-furnished,56070,Koblenz
435000,128,3,2,1,yes,no,no,yes,no,0,yes,unfurnished,50354,Hürth
435000,153,4,2,1,no,no,yes,yes,no,1,no,furnished,53474,Bad Neuenahr-Ahrweiler
434000,133,3,2,1,no,no,no,yes,no,2,no,semi-furnished,53332,Bornheim
431000,90,2,2,1,no,no,yes,yes,no,2,no,unfurnished,44227,Dortmund Hombruch
431000,85,3,1,1,no,no,no,no,no,0,no,semi-furnished,53115,Bonn Poppelsdorf
431000,110,2,2,2,yes,no,yes,no,yes,2,yes,furnished,53123,Bonn Duisdorf
430000,79,2,1,3,no,no,no,yes,no,1,no,unfurnished,53115,Bonn Poppelsdorf
430000,97,2,1,3,no,no,yes,no,no,0,no,unfurnished,53113,Bonn Zentrum
430000,158,4,3,1,no,no,yes,yes,no,3,no,unfurnished,42853,Remscheid
429000,109,4,1,1,no,no,yes,yes,no,2,no,unfurnished,51149,Köln Porz
429000,93,3,1,2,no,no,yes,no,no,2,yes,unfurnished,48157,Münster
428000,124,3,1,1,yes,yes,yes,yes,no,3,no,unfurnished,53179,Bonn Bad Godesberg
428000,107,3,1,2,no,no,no,yes,no,1,no,semi-furnished,53179,Bonn Bad Godesberg
427000,184,5,2,3,no,no,yes,yes,no,1,no,unfurnished,33602,Bielefeld
425000,163,4,2,3,no,no,yes,yes,no,1,no,semi-furnished,53424,Remagen
424000,120,4,3,2,no,no,yes,yes,no,3,no,unfurnished,51427,Bergisch Gladbach
424000,110,4,1,2,yes,no,yes,yes,no,1,no,unfurnished,51107,Köln Kalk
423000,94,4,2,1,no,no,no,yes,no,0,yes,unfurnished,50737,Köln Nippes
423000,106,3,2,2,yes,no,yes,yes,no,1,no,semi-furnished,50735,Köln Nippes
423000,104,4,2,1,no,no,no,yes,no,2,yes,unfurnished,53123,Bonn Duisdorf
422000,126,3,3,1,no,no,yes,yes,no,3,yes,furnished,53424,Remagen
422000,110,3,1,1,yes,no,yes,yes,no,1,no,unfurnished,53173,Bonn Bad Godesberg
421000,85,2,1,2,no,yes,no,yes,no,0,no,unfurnished,53177,Bonn Bad Godesberg
418000,164,4,1,3,yes,no,yes,yes,no,2,no,unfurnished,42857,Remscheid
416000,113,3,2,3,no,no,yes,no,no,2,no,unfurnished,53840,Troisdorf
415000,117,3,2,3,no,no,yes,yes,no,2,yes,unfurnished,53604,Bad Honnef
414000,118,4,2,2,yes,no,no,yes,no,0,no,semi-furnished,50997,Köln Rodenkirchen
413000,98,3,2,1,no,yes,no,yes,no,0,yes,semi-furnished,50259,Pulheim
411000,149,4,1,3,no,no,yes,no,yes,2,no,semi-furnished,56073,Koblenz
411000,88,3,1,1,no,no,no,yes,no,0,no,semi-furnished,50827,Köln Ehrenfeld
411000,132,5,2,2,no,no,yes,yes,no,1,no,unfurnished,41747,Viersen
411000,145,5,2,2,yes,yes,yes,yes,no,1,no,semi-furnished,46238,Bottrop
410000,100,2,1,2,no,yes,yes,yes,no,0,yes,unfurnished,53842,Troisdorf
408000,111,2,2,1,no,no,yes,yes,no,2,yes,furnished,45127,Essen Zentrum
407000,133,4,2,1,yes,no,no,yes,yes,2,yes,unfurnished,33613,Bielefeld
406000,122,4,1,1,yes,no,yes,yes,no,2,no,unfurnished,51107,Köln Kalk
404000,148,5,2,1,no,no,yes,no,no,2,no,unfurnished,45659,Recklinghausen
404000,175,5,1,2,no,no,no,yes,no,1,no,unfurnished,53797,Lohmar
404000,180,4,2,2,no,no,no,yes,yes,3,no,unfurnished,53489,Sinzig
403000,97,3,2,1,no,yes,no,yes,no,2,no,semi-furnished,53127,Bonn Hardtberg
402000,100,3,2,1,no,no,yes,yes,yes,1,no,semi-furnished,53332,Bornheim
401000,84,2,2,1,no,no,no,yes,no,0,no,furnished,53129,Bonn Kessenich
400000,94,4,1,1,no,no,no,yes,no,1,yes,unfurnished,53639,Königswinter
399000,104,3,1,1,no,no,no,yes,no,2,no,unfurnished,48157,Münster
398000,126,4,2,1,no,yes,no,yes,no,1,no,unfurnished,53721,Siegburg
397000,112,2,2,2,yes,yes,yes,yes,no,1,yes,unfurnished,53125,Bonn Hardtberg
397000,105,4,1,1,no,no,no,yes,no,2,no,unfurnished,53127,Bonn Hardtberg
396000,100,3,1,2,no,no,yes,yes,no,1,no,unfurnished,44225,Dortmund Hombruch
395000,123,3,2,2,yes,no,no,yes,no,3,no,semi-furnished,51147,Köln Porz
395000,120,4,2,1,no,no,no,yes,no,1,no,unfurnished,53123,Bonn Duisdorf
395000,98,3,1,3,yes,no,no,yes,no,2,no,unfurnished,53604,Bad Honnef
395000,123,3,2,1,no,no,no,no,no,2,no,unfurnished,40885,Ratingen
394000,94,3,2,2,no,no,no,yes,no,1,yes,unfurnished,50737,Köln Nippes
393000,125,3,1,1,no,no,no,yes,no,1,no,semi-furnished,53757,Sankt Augustin
390000,108,4,2,1,no,no,no,yes,no,1,no,semi-furnished,53846,Troisdorf
390000,143,4,2,1,no,no,yes,yes,no,1,no,semi-furnished,53757,Sankt Augustin
390000,129,5,2,2,yes,no,no,yes,no,2,yes,unfurnished,58640,Iserlohn
389000,97,2,1,1,no,no,yes,yes,no,1,no,unfurnished,53121,Bonn Endenich
388000,104,3,1,1,no,no,yes,yes,no,2,yes,furnished,53757,Sankt Augustin
388000,67,3,1,1,no,no,no,yes,no,1,yes,unfurnished,53113,Bonn Zentrum
387000,106,3,3,1,no,no,no,yes,no,1,no,unfurnished,50769,Köln Chorweiler
386000,89,2,1,1,no,no,no,yes,no,2,yes,unfurnished,53127,Bonn Hardtberg
385000,95,3,2,2,yes,no,no,yes,yes,1,no,unfurnished,45239,Essen Werden
384000,257,6,3,2,no,no,no,yes,no,3,no,unfurnished,51570,Windeck
383000,117,4,2,1,no,no,no,yes,no,1,no,unfurnished,50769,Köln Chorweiler
382000,85,2,1,1,no,yes,no,yes,no,0,no,semi-furnished,53129,Bonn Kessenich
382000,114,3,2,1,no,no,yes,yes,no,0,yes,unfurnished,47803,Krefeld
381000,256,6,1,1,no,no,no,yes,no,3,yes,unfurnished,45889,Gelsenkirchen
381000,158,5,2,3,no,no,no,yes,no,2,no,unfurnished,52070,Aachen
379000,120,3,2,3,yes,no,no,yes,yes,2,yes,unfurnished,45127,Essen Zentrum
379000,76,2,2,1,no,no,no,yes,no,1,no,unfurnished,53129,Bonn Kessenich
378000,162,5,1,1,no,no,no,yes,no,2,no,unfurnished,52062,Aachen
378000,126,3,2,2,no,yes,no,no,no,1,no,semi-furnished,53840,Troisdorf
377000,137,3,2,1,no,no,yes,yes,yes,2,no,unfurnished,53359,Rheinbach
377000,158,4,1,1,no,no,no,yes,no,2,no,unfurnished,58640,Iserlohn
377000,112,3,2,2,no,no,yes,yes,no,2,yes,semi-furnished,47057,Duisburg
377000,125,3,1,1,no,no,no,yes,no,1,yes,unfurnished,42853,Remscheid
377000,106,3,2,3,no,no,yes,yes,no,1,yes,semi-furnished,51149,Köln Porz
376000,155,5,1,3,yes,no,no,yes,no,1,yes,semi-furnished,59069,Hamm
373000,114,2,1,1,no,no,no,yes,no,0,no,unfurnished,53846,Troisdorf
373000,73,2,1,1,no,no,yes,yes,no,0,yes,semi-furnished,50259,Pulheim
373000,90,3,1,3,no,no,yes,yes,no,2,no,unfurnished,53604,Bad Honnef
371000,157,4,2,1,no,no,no,yes,no,2,yes,unfurnished,44328,Dortmund Scharnhorst
371000,90,3,1,1,no,no,no,yes,no,0,no,semi-furnished,50733,Köln Nippes
371000,81,2,2,1,no,no,no,no,no,1,yes,semi-furnished,53111,Bonn Zentrum
370000,182,5,3,1,no,no,no,yes,no,3,no,unfurnished,32423,Minden
370000,175,5,2,3,no,no,yes,yes,no,2,no,semi-furnished,58507,Lüdenscheid
368000,96,3,2,1,no,no,no,yes,no,0,no,unfurnished,50733,Köln Nippes
367000,108,3,1,2,no,no,no,yes,yes,0,yes,semi-furnished,53347,Alfter
363000,97,3,1,1,yes,no,no,yes,no,1,no,semi-furnished,53721,Siegburg
362000,157,4,2,3,no,no,no,yes,no,3,no,unfurnished,53804,Much
362000,135,4,2,1,no,no,yes,yes,no,2,no,unfurnished,47802,Krefeld
361000,155,5,2,2,no,no,yes,yes,no,1,no,semi-furnished,45657,Recklinghausen
361000,94,4,1,1,no,no,no,yes,no,2,no,unfurnished,51143,Köln Porz
360000,105,3,2,3,no,no,yes,yes,no,0,no,unfurnished,52064,Aachen
360000,82,3,1,1,no,no,no,yes,no,2,no,unfurnished,53111,Bonn Zentrum
360000,162,5,2,2,no,no,yes,yes,no,2,no,semi-furnished,33104,Paderborn
359000,124,4,1,3,no,no,no,yes,no,0,yes,unfurnished,44795,Bochum
358000,131,4,2,3,no,no,yes,yes,no,1,no,unfurnished,46236,Bottrop
358000,135,4,1,1,no,no,no,yes,no,2,no,semi-furnished,42857,Remscheid
358000,130,3,2,1,no,no,no,yes,yes,1,no,unfurnished,53359,Rheinbach
357000,61,2,1,1,no,no,no,yes,no,2,yes,semi-furnished,53129,Bonn Kessenich
357000,181,5,1,2,no,no,yes,yes,no,1,yes,unfurnished,42107,Wuppertal
357000,115,2,2,1,no,no,no,yes,no,1,no,unfurnished,53177,Bonn Bad Godesberg
356000,133,4,1,1,no,no,yes,yes,no,0,yes,semi-furnished,50765,Köln Chorweiler
355000,115,3,2,2,no,no,yes,yes,yes,1,no,unfurnished,45326,Essen Altenessen
355000,99,3,1,1,no,no,no,no,no,0,no,unfurnished,53127,Bonn Venusberg
355000,101,3,2,3,no,no,yes,yes,no,2,no,unfurnished,47798,Krefeld
354000,110,2,1,1,no,no,no,yes,no,2,no,semi-furnished,50259,Pulheim
352000,151,5,2,2,no,no,no,yes,no,2,yes,semi-furnished,47058,Duisburg
352000,129,4,2,3,yes,yes,no,yes,yes,0,no,unfurnished,50389,Wesseling
352000,97,4,2,1,no,no,no,yes,yes,0,yes,semi-furnished,44797,Bochum
351000,99,4,2,3,no,no,no,yes,no,2,no,unfurnished,44139,Dortmund Zentrum
350000,100,2,2,1,no,no,no,yes,yes,1,no,semi-furnished,53119,Bonn Tannenbusch
350000,104,2,2,1,yes,yes,no,no,no,0,no,semi-furnished,48145,Münster
350000,118,3,2,3,no,no,no,yes,no,0,no,unfurnished,45127,Essen Zentrum
350000,97,3,1,1,yes,no,no,yes,no,2,yes,unfurnished,53604,Bad Honnef
349000,112,4,1,1,no,no,no,yes,no,2,no,unfurnished,51429,Bergisch Gladbach
349000,121,3,2,1,yes,no,yes,yes,no,2,yes,semi-furnished,33330,Gütersloh
348000,87,3,2,3,no,no,no,yes,no,0,no,furnished,51067,Köln Muelheim
347000,109,2,2,1,yes,no,no,no,no,2,no,unfurnished,53177,Bonn Bad Godesberg
347000,97,3,2,1,yes,no,no,yes,yes,0,no,semi-furnished,50321,Brühl
346000,132,2,2,1,no,no,no,yes,no,1,no,semi-furnished,33602,Bielefeld
346000,117,4,1,3,no,no,no,yes,no,2,yes,furnished,53424,Remagen
344000,98,3,2,1,no,no,yes,yes,no,2,no,furnished,50354,Hürth
344000,173,4,2,1,no,no,yes,yes,no,2,no,unfurnished,51570,Windeck
344000,99,3,1,1,no,no,yes,yes,no,2,no,semi-furnished,53125,Bonn Hardtberg
342000,133,4,2,3,yes,no,yes,no,no,2,no,unfurnished,45472,Mülheim a.d. Ruhr
341000,131,3,2,1,no,no,no,no,no,1,no,unfurnished,58091,Hagen
341000,107,4,1,3,yes,no,no,yes,no,1,no,unfurnished,45128,Essen Zentrum
340000,119,3,1,2,no,no,no,yes,no,2,yes,unfurnished,45657,Recklinghausen
336000,90,2,1,1,no,no,yes,no,no,2,yes,unfurnished,53721,Siegburg
335000,125,4,1,1,no,no,no,yes,no,1,no,unfurnished,47058,Duisburg
334000,162,5,1,3,no,no,yes,yes,no,1,no,unfurnished,47057,Duisburg
334000,177,5,3,1,no,no,yes,yes,no,1,no,unfurnished,47058,Duisburg
333000,109,3,2,1,no,no,no,yes,no,2,no,semi-furnished,51570,Windeck
330000,111,4,1,3,no,no,yes,yes,no,1,no,unfurnished,53125,Bonn Hardtberg
329000,113,4,2,1,no,no,yes,yes,yes,2,yes,unfurnished,52353,Düren
329000,143,5,2,1,no,no,no,yes,no,1,no,semi-furnished,32425,Minden
327000,68,1,1,1,yes,yes,no,yes,no,1,yes,unfurnished,53115,Bonn Zentrum
326000,103,3,1,1,no,no,no,no,no,0,no,semi-furnished,53424,Remagen
326000,129,3,2,1,no,no,no,yes,no,1,no,semi-furnished,44139,Dortmund Zentrum
325000,121,4,2,1,no,no,no,yes,yes,1,no,semi-furnished,44137,Dortmund Zentrum
322000,130,3,1,3,no,yes,no,yes,no,0,no,furnished,53489,Sinzig
322000,101,3,1,1,no,no,yes,yes,yes,0,no,unfurnished,51149,Köln Porz
322000,121,4,1,3,no,no,no,no,yes,0,no,unfurnished,42107,Wuppertal
321000,116,3,1,1,no,no,yes,yes,no,2,no,unfurnished,53913,Swisttal
321000,138,4,1,1,no,no,no,yes,no,1,yes,furnished,58636,Iserlohn
320000,104,3,2,3,no,no,no,yes,no,1,yes,semi-furnished,41464,Neuss
320000,109,3,1,1,no,yes,no,yes,no,1,no,unfurnished,33334,Gütersloh
319000,123,3,3,1,no,no,no,yes,no,1,yes,furnished,45879,Gelsenkirchen
319000,74,2,1,1,yes,no,no,yes,no,0,no,semi-furnished,45131,Essen Rüttenscheid
319000,126,3,2,2,yes,yes,yes,yes,no,2,no,semi-furnished,53340,Meckenheim
319000,83,3,2,1,no,no,no,yes,no,2,no,unfurnished,50354,Hürth
318000,127,3,3,3,no,no,yes,yes,no,3,no,unfurnished,53474,Bad Neuenahr-Ahrweiler
318000,136,3,1,2,no,no,no,yes,no,2,no,unfurnished,58638,Iserlohn
317000,144,4,2,2,no,no,yes,yes,no,1,no,unfurnished,53783,Eitorf
317000,133,4,1,3,no,no,no,no,no,2,no,semi-furnished,50767,Köln Chorweiler
316000,92,2,2,2,no,yes,yes,yes,no,0,yes,semi-furnished,52349,Düren
314000,144,4,1,3,yes,no,yes,yes,no,1,yes,unfurnished,44791,Bochum
314000,106,3,2,2,no,yes,yes,yes,no,1,yes,semi-furnished,52068,Aachen
313000,108,4,1,3,no,yes,no,yes,no,2,yes,unfurnished,53879,Euskirchen
313000,119,4,2,1,yes,no,no,yes,no,1,no,unfurnished,53721,Siegburg
313000,94,2,1,1,no,no,no,yes,no,0,yes,furnished,51465,Bergisch Gladbach
312000,84,2,2,1,no,yes,yes,yes,no,0,no,unfurnished,56072,Koblenz
312000,61,2,1,1,yes,yes,yes,yes,no,1,yes,semi-furnished,53177,Bonn Bad Godesberg
312000,109,3,1,1,no,no,yes,yes,no,2,no,furnished,53797,Lohmar
310000,139,4,2,1,no,no,no,yes,no,2,no,unfurnished,53773,Hennef (Sieg)
310000,55,2,1,1,no,no,no,yes,no,0,no,unfurnished,53111,Bonn Zentrum
310000,65,3,1,1,no,no,no,yes,yes,1,no,unfurnished,50823,Köln Ehrenfeld
308000,81,2,1,1,no,no,no,yes,no,2,no,unfurnished,50735,Köln Nippes
308000,79,3,1,1,no,no,no,yes,no,0,no,semi-furnished,50735,Köln Nippes
307000,82,3,2,1,no,no,no,yes,yes,1,no,semi-furnished,53757,Sankt Augustin
307000,87,2,2,1,no,no,no,yes,no,1,no,unfurnished,53604,Bad Honnef
306000,79,2,1,1,no,no,no,yes,no,0,no,semi-furnished,50226,Frechen
306000,92,3,1,2,no,no,no,yes,no,1,no,unfurnished,51429,Bergisch Gladbach
305000,68,2,2,1,no,no,yes,yes,no,1,no,unfurnished,50823,Köln Ehrenfeld
304000,143,4,1,1,no,no,yes,yes,no,1,no,unfurnished,53489,Sinzig
301000,79,2,1,1,no,no,yes,no,no,0,no,unfurnished,40223,Düsseldorf Bilk
298000,77,2,2,1,no,yes,yes,yes,no,0,no,unfurnished,53347,Alfter
296000,132,3,1,1,no,no,no,no,no,3,yes,semi-furnished,59069,Hamm
